source,target,code,action_type,match_type,regex,enabled,hits,title,source_plugin
/its-time-for-impact-driven-events-what-can-the-events-industry-learn-from-the-coronavirus-crisis/,https://theglobal.school/events-industry/,301,url,url,False,True,84,,redirection
/ivan-fernando-flores-macias/,/fernando-ivan-flores-macias/,301,url,url,False,True,0,,redirection
/la-batalla-por-la-supervivencia-da-inicio/,https://es.theglobal.school/carta-a-la-humanidad-desde-2100/,301,url,url,False,True,0,,redirection
/la-crisis-global-del-sistema-covid-19/,https://es.theglobal.school/crisis-global/,301,url,url,False,True,0,,redirection
/la-extincion-de-la-especie-humana-2050/,https://es.theglobal.school/carta-a-la-humanidad-desde-2100/,301,url,url,False,True,0,,redirection
/la-peor-pesadilla-de-europa/,/la-peor-pesadilla-de-europa-europa-en-crisis/,301,url,url,False,True,89,,redirection
/latin-american-leaders-awards/,https://es.theglobal.school/latin-american-leaders-awards-2019/,301,url,url,False,True,988,,redirection
/launch-your-global-school-community-events-education-academy/,/tu-escuela-global-comunidad-eventos-educacion/,301,url,url,False,True,377,,redirection
/lessons-from-indigenous-to-resist-the-crisis/,https://theglobal.school/lessons-indigenous/,301,url,url,False,True,0,,redirection
/lessons-from-indigenous/,https://theglobal.school/lessons-indigenous/,301,url,url,False,True,0,,redirection
/letter-to-humanity-since-2050/,https://theglobal.school/letter-to-humanity-from-2050/,301,url,url,False,True,63,,redirection
/libro-mente-cuerpo-espiritu-roberto-arrucha/,/roberto-arrucha-libro/,301,url,url,False,True,177,,redirection
/liderando-la-economia-circular/,/liderazgo-en-economia-circular/,301,url,url,False,True,64,,redirection
/liderazgo-hacia-las-destinos-inteligentes/,/destinos-inteligentes-tequila/,301,url,url,False,True,61,,redirection
/liderazgo-por-la-vida-y-el-planeta/,/liderazgo-desde-la-cuna-curso/,301,url,url,False,True,61,,redirection
/mujeres-autenticas-2/,/mujeres-autenticas-votaciones/,301,url,url,False,True,94,,redirection
/mujeres-autenticas-20/,https://es.theglobal.school/mujeres-autenticas-2023/,301,url,url,False,True,0,,redirection
/nuestro-nuevo-conjunto-de-herramientas-plantea-preguntas-criticas-sobre-las-tecnologias-gubernamentales/,https://es.theglobal.school/tecnologias-gubernamentales/,301,url,url,False,True,0,,redirection
/nueva-etapa-the-global-school-for-new-leadership/,https://theglobal.school/new-era-the-global-school-for-new-leadership/,301,url,url,False,True,1625,,redirection
/online-will-never-replace-human-interaction/,https://theglobal.school/remote-work/,301,url,url,False,True,26,,redirection
/paises-mas-contaminantes-de-america-latina/,https://es.theglobal.school/paises-contaminantes-de-america-latina/,301,url,url,False,True,224,,redirection
/pasantias-pagadas-analisis-y-creacion-de-contenido/,/internship-youtuber/,301,url,url,False,True,1125,,redirection
/qepd-capitalismo/,https://es.theglobal.school/el-capitalismo-ha-muerto/,301,url,url,False,True,124,,redirection
/que-le-quieren-decir-al-mundo-los-pueblos-indigenas-sobre-el-covid-19/,https://es.theglobal.school/indigenas-covid19/,301,url,url,False,True,0,,redirection
/research-women-score-higher-than-men-in-most-leadership-skills/,https://theglobal.school/women-leadership/,301,url,url,False,True,15,,redirection
/scam-alert-helian-leigon-global-honor-entrepreneurship/,https://theglobal.school/404-2/,301,url,url,False,True,483,,redirection
/security-operations-management-systems-iso-18788/,/iso-21001-educational-organizations-management/,301,url,url,False,True,74,,redirection
/sesgo-contra-mujeres/,https://es.theglobal.school/mujeres/,301,url,url,False,True,8,,redirection
/sharing-power-to-rebuild-public-trust/,https://theglobal.school/sharing-power-public-trust/,301,url,url,False,True,0,,redirection
/speakers-requests/,/startups-and-speakers-applications/,301,url,url,False,True,51,,redirection
/superar-confinamiento/,https://es.theglobal.school/superar-confinamiento-y-cuarentena/,301,url,url,False,True,153,,redirection
/the-future-is-now-european-union-and-latin-american-eu-lac/,/european-union-and-latin-american-eu-lac-celac/,301,url,url,False,True,57,,redirection
/the-global-covid-19-system-crisis/,https://theglobal.school/system-crisis/,301,url,url,False,True,54,,redirection
/the-story-of-digital-hikoi/,https://theglobal.school/journey-with-the-indigenous-of-brazil/,301,url,url,False,True,66,,redirection
/the-war-of-china-and-the-usa-must-be-against-climate-change/,/guerra-china-contra-eeuu-y-cambio-climatico/,301,url,url,False,True,387,,redirection
/tools/,/tools2/,301,url,url,False,True,290,,redirection
/transforming-culture/,https://theglobal.school/cultural-transformation-by-leaders/,301,url,url,False,True,0,,redirection
/tras-las-huellas-de-los-componentes-de-la-salud-fisica/,https://es.theglobal.school/estudio-actividad-fisica/,301,url,url,False,True,0,,redirection
/una-mirada-hacia-el-futuro-del-liderazgo-en-tiempos-de-crisis-posliderazgo/,https://es.theglobal.school/posliderazgo/,301,url,url,False,True,0,,redirection
/vienna-housing-model-programme/,/vienna-housing-international-congress/,301,url,url,False,True,1,,redirection
/will-the-coronavirus-help-humanity-survive-the-environmental-crisis/,https://theglobal.school/environmental-crisis/,301,url,url,False,True,46,,redirection
/world-localization-day/,https://theglobal.school/localization-day/,301,url,url,False,True,59,,redirection
https://es.theglobal.school/membresias/,https://es.theglobal.school/miembros-asociados/,301,url,url,False,yes,,Membresías The New Global School,seopress
https://es.theglobal.school/nominaciones-latin-american-leaders-awards/,https://latam.awards-global.org/nominate,301,url,url,False,yes,,Nominaciones - Latin American Leaders Awards,seopress
https://es.theglobal.school/nominaciones-mujeres-autenticas/,https://awards.pro-latam.org/nominate,302,url,url,False,yes,,Nominaciones - Mujeres Auténticas,seopress
https://theglobal.school/doughnut-economics/,https://theglobal.school/doughnut-economics/,301,url,url,False,yes,,"Doughnut Economics, Regenerative Economy",seopress
https://theglobal.school/event-organizations-academy-communities/,https://theglobal.school/the-new-global-school-communities-events-education/,301,url,url,False,yes,,"The New Global School. Communities, Events &amp; Education.",seopress
https://theglobal.school/seopress_404/curso-2/,https://es.theglobal.school,301,url,url,False,yes,,curso-2,seopress
https://theglobal.school/seopress_404/launch-your-global-school-community-events-education-academy/,https://theglobal.school/event-organizations-academy-communities/,301,url,url,False,yes,,launch-your-global-school-community-events-education-academy,seopress
https://theglobal.school/the-holy-land-experience/,https://theglobal.school/the-holy-land-experience/,301,url,url,False,yes,,The holy land is ready for tourism,seopress
https://theglobal.school/un-antonio-guterres/,https://theglobal.school/un-antonio-guterres/,301,url,url,False,yes,,"""Let’s not fool ourselves"", UN Secretary General Antonio Guterres slams inequality falsehoods",seopress
/the-new-global-school-communities-events-education/,/event-organizations-academy-communities/,301,url,url,False,False,0,,redirection
