url,clicks,impressions
https://theglobal.school/testimonial/remarkable/,0,8
https://becarios.theglobal.school/home-4/,0,8
https://es.theglobal.school/tag/mujeres-emprendedoras-colombia-es/,0,7
https://theglobal.school/tag/facebook-libra/,0,7
https://es.theglobal.school/tag/campeones-climaticos-de-la-onu/,0,7
https://becarios.theglobal.school/our-new-partners/,0,7
https://es.theglobal.school/testimonial/personas-maravillosas/,0,7
https://theglobal.school/tag/liveable-city/,0,6
https://es.theglobal.school/latam-covid19/,0,6
https://es.theglobal.school/tag/heredia-costa-rica/,0,6
https://theglobal.school/testimonial/enlightening/,0,6
https://es.theglobal.school/latin-american-networking-in-vienna/,0,6
https://es.theglobal.school/tag/desastre-climatico/,0,6
https://es.theglobal.school/tag/latam-awards/,0,5
https://es.theglobal.school/tag/festival-de-la-veda/,0,5
https://es.theglobal.school/tag/quiebra/,0,5
https://ceos.theglobal.school/,0,4
https://es.theglobal.school/tag/onu-nueva-york/,0,4
https://theglobal.school/tag/latin-american-leaders-awards-2/,0,4
https://es.theglobal.school/muje,0,4
https://es.theglobal.school/tag/cafam-colombia/,0,4
https://latamawards.theglobal.school/nominate,0,4
https://es.theglobal.school/tag/consul-de-ecuador-en-austria/,0,4
https://es.theglobal.school/tag/turismo-yucatan/,0,4
https://es.theglobal.school/bienvenido-,0,3
https://es.theglobal.school/tag/millonarios-de-mexico/,0,3
https://es.theglobal.school/tag/uruguay-es/,0,3
https://theglobal.school/tag/eu-lac/,0,3
https://es.theglobal.school/tag/emprendimientos-sociales/,0,3
https://es.theglobal.school/tag/movilidad-sostenible/,0,3
https://es.theglobal.school/tag/futuro/,0,3
https://es.theglobal.school/tag/direccion-de-cambio-climatico/,0,3
https://es.theglobal.school/tag/wellness-es/,0,3
https://es.theglobal.school/tag/movilidad/,0,3
https://es.theglobal.school/tag/nutricion-america-latina/,0,3
https://becarios.theglobal.school/mission/,0,2
https://es.theglobal.school/why-cultural-transformation-is-so-important-nowadays/,0,2
https://es.theglobal.school/tag/cop26/,0,2
https://becarios.theglobal.school/tag/volounteers/,0,2
https://es.theglobal.school/tag/calidad-de-vida/,0,2
https://es.theglobal.school/tag/chatgpt/,0,2
https://es.theglobal.school/tag/comida-progreso/,0,2
https://es.theglobal.school/lessons-indigenous/,0,2
https://es.theglobal.school/startups-and-speakers-applications/,0,2
https://es.theglobal.school/tag/mente-sana/,0,2
https://becarios.theglobal.school/documents/project-details/,0,2
https://es.theglobal.school/tag/climate-change-es/,0,2
https://es.theglobal.school/tag/world-war-iii-es/,0,2
https://www.theglobal.school/viena-ciudad-inteligente/,0,1
https://es.theglobal.school/tag/desarrollo-sostenible-innovacion-social/,0,1
https://es.theglobal.school/tag/startup-peru/,0,1
https://becarios.theglobal.school/our-children-in-school/,0,1
https://es.theglobal.school/how-consulting-businesses-are-working-online/,0,1
https://becarios.theglobal.school/become-a-volunteer/,0,1
https://becarios.theglobal.school/category/blog/,0,1
https://es.theglobal.school/certification-iso-26000-social-responsibility/,0,1
https://becarios.theglobal.school/home-6/,0,1
https://es.theglobal.school/tag/movimiento-indigena/,0,1
https://es.theglobal.school/tag/elitismo/,0,1
https://es.theglobal.school/tag/emprendedores/,0,1
https://es.theglobal.school/tag/tom-rivett-carnac/,0,1
https://es.theglobal.school/tag/purpose-es/,0,1
https://becarios.theglobal.school/prices/,0,1
https://es.theglobal.school/airbnb-violence-survivors/,0,1
https://es.theglobal.school/tag/transporte/,0,1
