url,final_url,status,lang,redirected,slug,md_chars,images,warn
https://es.theglobal.school/falsa-denuncia-contra-roberto-arrucha-director-de-the-global-school/,https://es.theglobal.school/falsa-denuncia-contra-roberto-arrucha-director-de-the-global-school/,200,es,no,falsa-denuncia-contra-roberto-arrucha-director-de-the-global-school,6867,4,
https://es.theglobal.school/fernando-ivan-flores-macias/,https://es.theglobal.school/fernando-ivan-flores-macias/,200,es,no,fernando-ivan-flores-macias,1514,1,
https://es.theglobal.school/franquicias-y-representantes-oficiales/,https://es.theglobal.school/franquicias-y-representantes-oficiales/,200,es,no,franquicias-y-representantes-oficiales,6772,13,
https://es.theglobal.school/green-cloud/,https://es.theglobal.school/green-cloud/,200,es,no,green-cloud,5155,11,
https://es.theglobal.school/herramientas/,https://es.theglobal.school/herramientas/,200,es,no,herramientas,100,0,
https://es.theglobal.school/herramientas-de-inteligencia-artificial/,https://es.theglobal.school/herramientas-de-inteligencia-artificial/,200,es,no,herramientas-de-inteligencia-artificial,6359,14,
https://es.theglobal.school/identidad-en-india/,https://es.theglobal.school/identidad-en-india/,200,es,no,identidad-en-india,15729,3,
https://es.theglobal.school/impacto-social/,https://es.theglobal.school/impacto-social/,200,es,no,impacto-social,3526,3,
https://es.theglobal.school/inicia-como-representante/,https://es.theglobal.school/inicia-como-representante/,200,es,no,inicia-como-representante,0,0,
https://es.theglobal.school/innovation-box/,https://es.theglobal.school/innovation-box/,301,es,no,,0,0,no-200 ()
https://es.theglobal.school/inteligencia-artificial/,https://es.theglobal.school/inteligencia-artificial/,200,es,no,inteligencia-artificial,6340,14,
https://es.theglobal.school/intervencion-social/,https://es.theglobal.school/intervencion-social/,200,es,no,intervencion-social,14029,12,
https://es.theglobal.school/invitacion-masterclass/,https://es.theglobal.school/invitacion-masterclass/,200,es,no,invitacion-masterclass,8313,9,
https://es.theglobal.school/jesus-en-los-himalayas-india/,https://es.theglobal.school/jesus-en-los-himalayas-india/,200,es,no,jesus-en-los-himalayas-india,8108,2,
https://es.theglobal.school/la-ruta-del-activista/,https://es.theglobal.school/la-ruta-del-activista/,200,es,no,la-ruta-del-activista,9546,12,
https://es.theglobal.school/latin-america-leaders-awards/,https://es.theglobal.school/latin-america-leaders-awards/,200,es,no,latin-america-leaders-awards,29919,20,
https://es.theglobal.school/leaders-awards/,https://es.theglobal.school/leaders-awards/,200,es,no,leaders-awards,1747,6,
https://es.theglobal.school/lider-evaluacion-holistica/,https://es.theglobal.school/lider-evaluacion-holistica/,200,es,no,lider-evaluacion-holistica,8581,12,
https://es.theglobal.school/liderazgo-desde-la-cuna-curso/,https://es.theglobal.school/liderazgo-desde-la-cuna-curso/,200,es,no,liderazgo-desde-la-cuna-curso,5335,11,
https://es.theglobal.school/liderazgo-en-economia-circular/,https://es.theglobal.school/liderazgo-en-economia-circular/,200,es,no,liderazgo-en-economia-circular,5206,11,
https://es.theglobal.school/liderazgo-inteligente-sureco-partners/,https://es.theglobal.school/liderazgo-inteligente-sureco-partners/,200,es,no,liderazgo-inteligente-sureco-partners,4902,11,
https://es.theglobal.school/liderazgo-publico-para-la-accion-climatica/,https://es.theglobal.school/liderazgo-publico-para-la-accion-climatica/,200,es,no,liderazgo-publico-para-la-accion-climatica,6202,11,
https://es.theglobal.school/liderazgo-y-accion-social-empresarial/,https://es.theglobal.school/liderazgo-y-accion-social-empresarial/,200,es,no,liderazgo-y-accion-social-empresarial,6556,11,
https://es.theglobal.school/liderazgo-y-ecologia/,https://es.theglobal.school/liderazgo-y-ecologia/,200,es,no,liderazgo-y-ecologia,5275,11,
https://es.theglobal.school/liderazgo-y-gestion-publica/,https://es.theglobal.school/liderazgo-y-gestion-publica/,200,es,no,liderazgo-y-gestion-publica,5699,11,
https://es.theglobal.school/los-objetivos-del-desarrollo-humano/,https://es.theglobal.school/los-objetivos-del-desarrollo-humano/,200,es,no,los-objetivos-del-desarrollo-humano,8417,8,
https://es.theglobal.school/los-valores-de-mi-proyecto-social/,https://es.theglobal.school/los-valores-de-mi-proyecto-social/,200,es,no,los-valores-de-mi-proyecto-social,7433,12,
https://es.theglobal.school/malegarcia/,https://es.theglobal.school/malegarcia/,200,es,no,malegarcia,6360,11,
https://es.theglobal.school/masterclass-liderazgo-organizacional/,https://es.theglobal.school/masterclass-liderazgo-organizacional/,200,es,no,masterclass-liderazgo-organizacional,6408,11,
https://es.theglobal.school/matriz-innovacion-social/,https://es.theglobal.school/matriz-innovacion-social/,200,es,no,matriz-innovacion-social,7454,12,
https://es.theglobal.school/miembros/,https://es.theglobal.school/miembros/,200,es,no,miembros,149625,14,
https://es.theglobal.school/miembros-asociados/,https://es.theglobal.school/miembros-asociados/,200,es,no,miembros-asociados,6966,13,
https://es.theglobal.school/mujeres-autenticas/,https://es.theglobal.school/mujeres-autenticas/,200,es,no,mujeres-autenticas,27993,8,
https://es.theglobal.school/mujeres-autenticas-votaciones/,https://es.theglobal.school/mujeres-autenticas-votaciones/,200,es,no,mujeres-autenticas-votaciones,4066,13,
https://es.theglobal.school/nominaciones-latin-american-leaders-awards/,https://awards.pro-latam.org/nominate,200,es,yes,nominate,1536,0,
https://es.theglobal.school/nominaciones-mujeres-autenticas/,https://awards.pro-latam.org/nominate,200,es,yes,nominate,1536,0,
https://es.theglobal.school/nosotros/,https://es.theglobal.school/nosotros/,200,es,no,nosotros,9119,20,
https://es.theglobal.school/objectives-and-key-results-okrs/,https://es.theglobal.school/objectives-and-key-results-okrs/,200,es,no,objectives-and-key-results-okrs,11611,12,
https://es.theglobal.school/objetivos-y-resultados-clave-okrs/,https://es.theglobal.school/objetivos-y-resultados-clave-okrs/,200,es,no,objetivos-y-resultados-clave-okrs,9165,12,
https://es.theglobal.school/pasantias-pagadas-analisis-y-creacion-de-contenido/,https://es.theglobal.school/pasantias-pagadas-analisis-y-creacion-de-contenido/,301,es,no,,0,0,no-200 ()
https://es.theglobal.school/politicas/,https://es.theglobal.school/politicas/,200,es,no,politicas,127388,0,
https://es.theglobal.school/premiados-2022-latin-american-leaders-awards/,https://es.theglobal.school/premiados-2022-latin-american-leaders-awards/,200,es,no,premiados-2022-latin-american-leaders-awards,14970,27,
https://es.theglobal.school/premiados-2023-latin-american-leaders-awards/,https://es.theglobal.school/premiados-2023-latin-american-leaders-awards/,200,es,no,premiados-2023-latin-american-leaders-awards,7122,24,
https://es.theglobal.school/premios-verdes-curso-de-liderazgo-y-estrategia/,https://es.theglobal.school/premios-verdes-curso-de-liderazgo-y-estrategia/,200,es,no,premios-verdes-curso-de-liderazgo-y-estrategia,5429,11,
https://es.theglobal.school/prepara-tu-programa/,https://es.theglobal.school/prepara-tu-programa/,200,es,no,prepara-tu-programa,25513,14,
https://es.theglobal.school/productividad-para-proyectos-sociales/,https://es.theglobal.school/productividad-para-proyectos-sociales/,200,es,no,productividad-para-proyectos-sociales,7963,12,
https://es.theglobal.school/productivity-board/,https://es.theglobal.school/productivity-board/,200,es,no,productivity-board,10350,12,
https://es.theglobal.school/roberto-arrucha/,https://es.theglobal.school/roberto-arrucha/,200,es,no,roberto-arrucha,6600,6,
https://es.theglobal.school/roberto-arrucha-libro/,https://es.theglobal.school/roberto-arrucha-libro/,200,es,no,roberto-arrucha-libro,9637,6,
https://es.theglobal.school/sambito-curso-de-liderazgo-y-estrategia/,https://es.theglobal.school/sambito-curso-de-liderazgo-y-estrategia/,200,es,no,sambito-curso-de-liderazgo-y-estrategia,4961,11,
https://es.theglobal.school/seminario-internacional-de-alta-especializacion-en-pld-y-compliance/,https://es.theglobal.school/seminario-internacional-de-alta-especializacion-en-pld-y-compliance/,200,es,no,seminario-internacional-de-alta-especializacion-en-pld-y-compliance,7066,10,
https://es.theglobal.school/storytelling-para-lideres-sociales/,https://es.theglobal.school/storytelling-para-lideres-sociales/,200,es,no,storytelling-para-lideres-sociales,10115,12,
https://es.theglobal.school/tacita-de-cafe/,https://es.theglobal.school/tacita-de-cafe/,200,es,no,tacita-de-cafe,11192,0,
https://es.theglobal.school/tomar-decisiones-como-lider/,https://es.theglobal.school/tomar-decisiones-como-lider/,200,es,no,tomar-decisiones-como-lider,13756,12,
https://es.theglobal.school/trafico-de-personas-masterclass-espanol/,https://es.theglobal.school/trafico-de-personas-masterclass-espanol/,200,es,no,trafico-de-personas-masterclass-espanol,2466,5,
https://es.theglobal.school/tu-escuela-global-comunidad-eventos-educacion/,https://es.theglobal.school/tu-escuela-global-comunidad-eventos-educacion/,200,es,no,tu-escuela-global-comunidad-eventos-educacion,6048,4,
https://es.theglobal.school/tzunun/,https://es.theglobal.school/tzunun/,200,es,no,tzunun,5482,11,
https://es.theglobal.school/viajes-educativos-a-europa/,https://es.theglobal.school/viajes-educativos-a-europa/,200,es,no,viajes-educativos-a-europa,8489,12,
https://es.theglobal.school/votaciones-latin-american-leaders-awards/,https://es.theglobal.school/votaciones-latin-american-leaders-awards/,200,es,no,votaciones-latin-american-leaders-awards,20100,20,
https://es.theglobal.school/welcome/,https://es.theglobal.school/welcome/,200,es,no,welcome,26174,6,
https://es.theglobal.school/5-consejos-vida-sustentable/,https://theglobal.school/tips-how-to-live-a-sustainable-lifestyle/,200,es,yes,tips-how-to-live-a-sustainable-lifestyle,3276,1,
https://es.theglobal.school/5-lecciones/,https://es.theglobal.school/5-lecciones/,200,es,no,5-lecciones,7853,2,
https://es.theglobal.school/7-educadores-ambientales-que-te-van-a-inspirar/,https://es.theglobal.school/7-educadores-ambientales-que-te-van-a-inspirar/,200,es,no,7-educadores-ambientales-que-te-van-a-inspirar,7722,12,
https://es.theglobal.school/actuemos-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/actuemos-latin-american-leaders-awards-nominados-2022/,200,es,no,actuemos-latin-american-leaders-awards-nominados-2022,5944,1,
https://es.theglobal.school/airbnb-alojamiento-gratuito/,https://es.theglobal.school/airbnb-alojamiento-gratuito/,200,es,no,airbnb-alojamiento-gratuito,5058,0,
https://es.theglobal.school/alerta-isla-riesco-chile-nominados-2022-latin-american-leaders-awards/,https://es.theglobal.school/alerta-isla-riesco-chile-nominados-2022-latin-american-leaders-awards/,200,es,no,alerta-isla-riesco-chile-nominados-2022-latin-american-leaders-awards,11051,1,
https://es.theglobal.school/amigos-del-viento-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/amigos-del-viento-latin-american-leaders-awards-nominados-2022/,200,es,no,amigos-del-viento-latin-american-leaders-awards-nominados-2022,7674,0,
https://es.theglobal.school/ana-carolina-benavides-martinez-latin-american-social-leaders-awards/,https://es.theglobal.school/ana-carolina-benavides-martinez-latin-american-social-leaders-awards/,200,es,no,ana-carolina-benavides-martinez-latin-american-social-leaders-awards,6669,2,
https://es.theglobal.school/aqui-nadie-se-rinde/,https://es.theglobal.school/aqui-nadie-se-rinde/,200,es,no,aqui-nadie-se-rinde,4780,11,
https://es.theglobal.school/arabia-saudita/,https://es.theglobal.school/arabia-saudita/,200,es,no,arabia-saudita,7354,6,
https://es.theglobal.school/asociacion-mexicana-de-hidrogeno-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/asociacion-mexicana-de-hidrogeno-latin-american-leaders-awards-nominados-2022/,200,es,no,asociacion-mexicana-de-hidrogeno-latin-american-leaders-awards-nominados-2022,5457,1,
https://es.theglobal.school/blanca-mery-sanchez-nominados-2022/,https://es.theglobal.school/blanca-mery-sanchez-nominados-2022/,200,es,no,blanca-mery-sanchez-nominados-2022,9641,2,
https://es.theglobal.school/bottleyes-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/bottleyes-latin-american-leaders-awards-nominados-2022/,200,es,no,bottleyes-latin-american-leaders-awards-nominados-2022,6927,1,
https://es.theglobal.school/bruno-mahfuz-nominados-2022-latin-american-leaders-awards/,https://es.theglobal.school/bruno-mahfuz-nominados-2022-latin-american-leaders-awards/,200,es,no,bruno-mahfuz-nominados-2022-latin-american-leaders-awards,5037,0,
https://es.theglobal.school/carolina-esperanza-real-casas-latin-american-social-leaders-awards/,https://es.theglobal.school/carolina-esperanza-real-casas-latin-american-social-leaders-awards/,200,es,no,carolina-esperanza-real-casas-latin-american-social-leaders-awards,5067,3,
https://es.theglobal.school/carolina-munoz-latin-american-social-leaders-awards/,https://es.theglobal.school/carolina-munoz-latin-american-social-leaders-awards/,200,es,no,carolina-munoz-latin-american-social-leaders-awards,7301,3,
https://es.theglobal.school/carta-a-la-humanidad-desde-2050/,https://es.theglobal.school/carta-a-la-humanidad-desde-2050/,200,es,no,carta-a-la-humanidad-desde-2050,17919,9,
https://es.theglobal.school/carta-a-la-humanidad-desde-2100/,https://es.theglobal.school/carta-a-la-humanidad-desde-2100/,200,es,no,carta-a-la-humanidad-desde-2100,17976,10,
https://es.theglobal.school/carta-a-la-humanidad-desde-el-2050-christina-figueres/,https://es.theglobal.school/carta-a-la-humanidad-desde-el-2050-christina-figueres/,200,es,no,carta-a-la-humanidad-desde-el-2050-christina-figueres,9892,5,
https://es.theglobal.school/claudia-verenice-acedo-ruiz/,https://es.theglobal.school/claudia-verenice-acedo-ruiz/,200,es,no,claudia-verenice-acedo-ruiz,6905,3,
https://es.theglobal.school/cleantech-hub-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/cleantech-hub-latin-american-leaders-awards-nominados-2022/,200,es,no,cleantech-hub-latin-american-leaders-awards-nominados-2022,8879,1,
https://es.theglobal.school/clima-lab-latin-american-leaders-awards/,https://es.theglobal.school/clima-lab-latin-american-leaders-awards/,200,es,no,clima-lab-latin-american-leaders-awards,21784,1,
https://es.theglobal.school/como-ayudar-ante-un-desastre-natural/,https://theglobal.school/how-can-we-help-when-a-natural-disasters-happen/,200,es,yes,how-can-we-help-when-a-natural-disasters-happen,9666,1,
https://es.theglobal.school/como-me-afecta-el-nuevo-acuerdo-de-la-union-europea-y-mexico/,https://es.theglobal.school/como-me-afecta-el-nuevo-acuerdo-de-la-union-europea-y-mexico/,200,es,no,como-me-afecta-el-nuevo-acuerdo-de-la-union-europea-y-mexico,4848,3,
https://es.theglobal.school/como-podemos-ayudar-mejor-ante-un-desastre/,https://es.theglobal.school/como-podemos-ayudar-mejor-ante-un-desastre/,200,es,no,como-podemos-ayudar-mejor-ante-un-desastre,9666,1,
https://es.theglobal.school/como-unirse-a-un-movimiento-feminista-cuando-eres-hombre/,https://es.theglobal.school/como-unirse-a-un-movimiento-feminista-cuando-eres-hombre/,200,es,no,como-unirse-a-un-movimiento-feminista-cuando-eres-hombre,2486,2,
https://es.theglobal.school/comparte-por-una-vida-colombia-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/comparte-por-una-vida-colombia-latin-american-leaders-awards-nominados-2022/,200,es,no,comparte-por-una-vida-colombia-latin-american-leaders-awards-nominados-2022,12312,1,
