source,target,type,enabled,title
https://theglobal.school/the-holy-land-experience/,https://theglobal.school/the-holy-land-experience/,301,yes,The holy land is ready for tourism
https://es.theglobal.school/como-ayudar-ante-un-desastre-natural/,,301,,¿Cómo ayudar ante un desastre natural?
https://theglobal.school/how-to-stop-ai-from-cheating/,,301,,How to stop AI from cheating
https://theglobal.school/how-can-we-help-when-a-natural-disasters-happen/,,301,,¿Cómo podemos ayudar mejor ante un desastre?
https://es.theglobal.school/mujeres-autenticas-2023/,,301,,Mujeres Auténticas 2023
https://theglobal.school/war-china-vs-the-usa-climate-change/,,301,,The War of China and USA must be against climate change
https://es.theglobal.school/guerra-china-contra-eeuu-y-cambio-climatico/,,301,,La guerra de China y EE.UU. debe ser contra el cambio climático
https://es.theglobal.school/rusia-y-america-latina-tus-enemigos-no-son-mis-enemigos/,,301,,Rusia y América Latina: Tus enemigos no son mis enemigos
https://theglobal.school/seopress_404/curso-2/,https://es.theglobal.school,301,yes,curso-2
https://es.theglobal.school/aqui-nadie-se-rinde/,,301,,Aqui nadie se Rinde
https://es.theglobal.school/como-podemos-ayudar-mejor-ante-un-desastre/,,301,,¿Cómo podemos ayudar mejor ante un desastre?
https://es.theglobal.school/latin-american-leaders-awards-2024/,,301,,Latin American Leaders Awards 2024
https://theglobal.school/seopress_404/launch-your-global-school-community-events-education-academy/,https://theglobal.school/event-organizations-academy-communities/,301,yes,launch-your-global-school-community-events-education-academy
https://es.theglobal.school/la-peor-pesadilla-de-europa-europa-en-crisis/,,301,,La peor pesadilla de Europa - Europa en Crisis
https://theglobal.school/crisis-in-europe-europes-worst-nightmare/,,301,,Crisis in Europe. Europe’s Worst Nightmare
