# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: TheGlobal.School
# Property: TheGlobal.School - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260512
# End date: 20260809
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
"People, Purpose, Planet Blog - The Global School for Social Leaders",7,7,1,2.4285714285714284,23,0,0
Security and Resilience Certification ISO 28000,7,7,1,0,21,0,0
"""We must end the carbon economy"": Top Economists",6,6,1,2.1666666666666665,27,0,0
AI for Sustainable Development - The New Global School,6,6,1,0.3333333333333333,25,0,0
Capacitaciones y Certificaciones Internacionales,6,6,1,75.5,34,0,0
Carta a la humanidad desde 2050 de Roberto A. Arucha,6,6,1,5.333333333333333,27,0,0
Digital Detox - The New Global School,6,6,1,0.16666666666666666,27,0,0
Diplomados Ejecutivos en Europa - The New Global School,6,6,1,45.166666666666664,41,0,0
Environmental Management Systems Based ISO 14001,6,6,1,3.3333333333333335,26,0,0
Holistic Development - The New Global School,6,6,1,0.8333333333333334,28,0,0
How to stop AI from cheating,6,6,1,0.5,22,0,0
La Comunidad de Líderes Globales - The New Global School,6,5,1.2,5,37,0,0
Managers - The New Global School,6,6,1,0.16666666666666666,24,0,0
Objectives and Key Results (OKRs) - The New Global School,6,6,1,1.1666666666666667,26,0,0
Smart Law - The New Global School,6,6,1,0.8333333333333334,24,0,0
Startups and Speakers Applications - The New Global School,6,6,1,1,22,0,0
The Global School for New Leadership - The New Global School,6,4,1.5,1,24,0,0
Values - The New Global School,6,6,1,1,20,0,0
Votaciones - Latin American Leaders Awards - The New Global School,6,6,1,45.666666666666664,23,0,0
7 Educadores Ambientales que te van a inspirar - The New Global School,5,5,1,34,35,0,0
Activism - The New Global School,5,5,1,0,22,0,0
Centro Internacional de Mejoramiento de Maíz y Trigo – CIMMYT – Latam,5,5,1,42.8,21,0,0
Environmentalist - The New Global School,5,5,1,1.2,17,0,0
For Leaders - The New Global School,5,5,1,1.4,21,0,0
Happiness is expensive - Roberto A. Arrucha,5,5,1,0,18,0,0
March 2020 - The New Global School,5,5,1,1,21,0,0
Mujeres Auténticas 2023 - The New Global School,5,5,1,5.8,23,0,0
Must Read - The New Global School,5,5,1,0.6,19,0,0
Online Consulting - The New Global School,5,5,1,0.4,21,0,0
"Roberto Arrucha, Director & Founder of The New Global School - The New Global School",5,6,0.8333333333333334,7.833333333333333,36,0,0
Systemic Thinking - The New Global School,5,5,1,0.4,22,0,0
"Tecnologías indígenas, para un diseño resistente al clima. - The New Global School",5,4,1.25,10.5,29,0,0
The Activist Journey - The New Global School,5,4,1.25,4,19,0,0
The Case for Job/Career Jumpers - The New Global School,5,5,1,0.4,20,0,0
Virtual Secretary - The New Global School,5,5,1,0.6,26,0,0
Young Leaders - The New Global School,5,5,1,0,23,0,0
7 reasons why we love Vienna - The New Global School,4,4,1,0,16,0,0
A message for Greta haters - The New Global School,4,4,1,0.25,14,0,0
Coaching - The New Global School,4,4,1,1.25,20,0,0
Consulting Firms - The New Global School,4,4,1,1,17,0,0
December 2019 - The New Global School,4,4,1,0.25,15,0,0
Digital Marketing - The New Global School,4,4,1,2.25,20,0,0
Earthquake - The New Global School,4,4,1,0,14,0,0
El verdadero propósito del líder - The New Global School,4,4,1,18,18,0,0
Fernando Iván Flores Macías - Mentor y Consejero en Asuntos Internacionales - The New Global School,4,4,1,25,26,0,0
GESTICA - The New Global School,4,2,2,36,24,0,0
ISO 18788 Management system for private security operations - Vienna School of Quality & Innovation,4,4,1,0,12,0,0
Impact Social - The New Global School,4,3,1.3333333333333333,34.333333333333336,22,0,0
Impressum - Vienna School of Quality & Innovation,4,4,1,0,12,0,0
Indigenous - The New Global School,4,4,1,0,18,0,0
January 2023 - The New Global School,4,4,1,2,20,0,0
Jorge Adrian Medina Martin - Latin American Social Leaders Awards - The New Global School,4,3,1.3333333333333333,18,24,0,0
Juan Felipe Cájiga - Latin American Leaders Awards - Nominados - The New Global School,4,5,0.8,15.2,30,0,0
Latin American Leaders Awards 2024,4,4,1,65.5,18,0,0
Letter to humanity from 2050 - The New Global School,4,4,1,14.5,19,0,0
Los Valores de mi proyecto social - The New Global School,4,4,1,3.25,17,0,0
Marisol Rodríguez Hernández Fundación Tigres - The New Global School,4,4,1,9.75,21,0,0
Nature-Based Solutions to Save The World - www.TheGlobal.School,4,4,1,0.75,15,0,0
Online Academy - The New Global School,4,4,1,0.5,18,0,0
Ranil Samarawickrema - IT outsourcing expert in the DACH region,4,4,1,0,12,0,0
Regina Altena - Latin American Leaders Awards - Nominados,4,5,0.8,67.2,33,0,0
Social Intervention Frame - The New Global School,4,2,2,485,24,0,0
Sustainability Leaders Awards - The New Global School,4,4,1,0.5,16,0,0
Sustainable Development Certification ISO 37101 - Vienna School,4,3,1.3333333333333333,0,11,0,0
Technology - The New Global School,4,4,1,1,18,0,0
engineers - The New Global School,4,4,1,0.5,19,0,0
3 - 2025 - Vienna School of Quality & Innovation,3,3,1,0,9,0,0
Abril 2020 - The New Global School,3,3,1,2,15,0,0
Act Fast and Do Whatever It Takes - The New Global School,3,3,1,0.3333333333333333,12,0,0
Alice Schmidt Sustainable Development Expert - Vienna School of Quality & Innovation,3,3,1,0,9,0,0
Certification ISO 26000 Social Responsibility -,3,3,1,4.333333333333333,19,0,0
Certification in Sustainability ISO 37101,3,3,1,0.3333333333333333,8,0,0
Clima Lab - Latin American Leaders Awards - Nominados 2022,3,3,1,0,11,0,0
Conflict conversations - The New Global School,3,3,1,0,9,0,0
Cultural Transformation by Leaders - TheGlobal.School,3,4,0.75,1,15,0,0
Decision Making - The New Global School,3,3,1,0.3333333333333333,11,0,0
Driving innovation: An Open System - The New Global School,3,4,0.75,1.25,18,0,0
FALSA Denuncia a Roberto Arrucha y Global School por Fraude,3,2,1.5,164.5,13,0,0
How Civil Society Action Led to Fairer Taxation in Mexico - The New Global School,3,3,1,0.6666666666666666,12,0,0
How to Explain Systems Change to a 13-Year-Old -,3,3,1,0,15,0,0
Joshua Wong - The New Global School,3,3,1,0,14,0,0
Latin America and the Caribbean in the time of COVID-19: Preventing the vulnerable from falling behind - The New Global School,3,3,1,1,13,0,0
Lessons from Indigenous to resist the crisis - COVID-19,3,3,1,0,15,0,0
Liderazgo Público para la Acción Climática,3,3,1,46,11,0,0
